Zip Code,Year,ZBP_Total_Establishments,ZBP_Total_Employees,ZBP_Annual_Payroll_Thousands
90059,2010,216,0,0
90202,2010,12,99,3675
90209,2010,6,3,768
90073,2010,15,0,0
90056,2010,139,2796,144841
90070,2010,2,0,0
90075,2010,7,51,1303
90077,2010,272,2072,89979
90071,2010,1073,35488,4559502
90078,2010,10,38,497
90076,2010,3,0,0
90082,2010,1,0,0
90087,2010,1,0,0
90093,2010,5,0,0
90233,2010,3,0,0
90239,2010,3,0,0
90232,2010,1093,20296,1867276
90240,2010,470,3426,96798
90245,2010,1587,73153,6945758
90212,2010,2184,14333,1769655
90247,2010,793,11895,397357
90221,2010,572,10708,453915
90242,2010,385,9098,417022
90222,2010,183,2407,89010
90254,2010,753,6370,236320
90241,2010,1046,15547,527078
90255,2010,918,13344,343181
90249,2010,687,9569,358628
90213,2010,15,0,0
90260,2010,493,3804,105240
90262,2010,594,8988,335545
90211,2010,1469,10475,742293
90224,2010,10,501,29478
90261,2010,10,38,2025
90251,2010,8,77,3302
90231,2010,11,0,0
90248,2010,1324,32789,1330830
90230,2010,1245,22912,912619
90031,2010,438,7739,268197
90037,2010,417,5251,125612
90036,2010,1924,27233,1419630
90039,2010,780,9874,419515
90041,2010,559,5691,199783
90034,2010,1038,11845,552155
90042,2010,475,3234,88107
90029,2010,514,4484,119252
90043,2010,369,2814,74191
90026,2010,812,7177,230628
90040,2010,1266,40306,1645499
90027,2010,1151,21872,1158894
90044,2010,328,2726,65089
90032,2010,306,4265,156900
90035,2010,1052,12838,609286
90038,2010,835,12921,778857
90045,2010,2047,61528,2496848
90028,2010,1405,28041,1098940
90033,2010,535,17641,946428
90046,2010,1811,11734,435471
90030,2010,6,9,916
91730,2010,2319,44064,1625877
91763,2010,878,12478,319452
92127,2010,879,16574,1505870
91708,2010,63,1564,64837
91714,2010,1,0,0
91715,2010,15,0,0
91729,2010,34,612,24552
91701,2010,462,3675,134816
91723,2010,678,7671,260312
91731,2010,970,13433,507734
91711,2010,814,12758,491197
91732,2010,526,4206,104991
91733,2010,1729,17360,566920
91716,2010,4,0,0
91724,2010,476,4832,188000
91608,2010,196,0,807433
91609,2010,3,0,365
91702,2010,780,16724,662179
91706,2010,1329,31725,1444819
91722,2010,485,6165,197567
